,station_name,lat,long
0,Wabash Ave & Grand Av,41.891738,-87.626937
1,State St & Randolph St,41.8847302,-87.6277336
2,Racine Ave & 18th St,41.8581806,-87.6564866
3,California Ave & Milwaukee Av,41.922695,-87.697153
4,Mies van der Rohe Way & Chicago Av,41.89691,-87.621743
5,LaSalle St & Washington St,41.8826795,-87.6324727
6,St. Clair St & Erie St,41.894448,-87.622663
7,Fort Dearborn Dr & 31st St,41.8384881,-87.608157
8,Lake Shore Dr & North Blvd,41.9117402,-87.6268192
9,Halsted St & Roscoe St,41.943662,-87.648917
10,Prairie Ave & Garfield Blvd,41.7948343,-87.6186919
11,Millennium Park,41.8825754,-87.62253608080282
12,Wells St & Concord Ln,41.912202,-87.634664
13,Lincoln Ave & Diversey Pkwy,41.932225,-87.658617
14,Streeter Dr & Grand Av,41.8922419,-87.6119493
15,State St & Kinzie St,41.88918,-87.6277
16,Michigan Ave & Oak St,41.9009604,-87.6237766
17,Wilton Ave & Diversey Pkwy,41.9325001,-87.6526808
18,Greenview Ave & Jarvis Av,42.0160082,-87.6684364
19,Broadway & Sheridan Rd,41.952833,-87.649993
20,Pine Grove Ave & Irving Park Rd,41.954383,-87.648043
21,Clinton St & Lake St,41.8856051,-87.6415486
22,Damen Ave & Foster Av,41.9756072,-87.6794567
23,Ellis Ave & 53rd St,41.7993594,-87.6009518
24,Larrabee St & Webster Av,41.921821,-87.6440695
25,Winthrop Ave & Lawrence Av,41.9688973,-87.6576956
26,Broadway & Waveland Av,41.9490759,-87.6487018
27,Halsted St & Archer Av,41.847203,-87.646795
28,Bosworth Ave & Howard St,42.0194149,-87.6695724
29,State St & 29th St,41.841707,-87.626938
30,Kedzie Ave & Milwaukee Av,41.929567,-87.707857
31,Orleans St & Hubbard St ,41.8900184,-87.6367797
32,Sheridan Rd & Irving Park Rd,41.9543201,-87.654435
33,Lakeview Ave & Fullerton Pkwy,41.925858,-87.638973
34,Kedzie Ave & Palmer Ct,41.921525,-87.707322
35,Clark St & Bryn Mawr Av,41.9835486,-87.6691741
36,Sedgwick St & Schiller St,41.907576,-87.638517
37,Wabash Ave & Wacker Pl,41.8868816,-87.6259495
38,Racine Ave & 35th St,41.8307572,-87.6558334
39,Damen Ave & Sunnyside Av,41.9631912,-87.6792473
40,Larrabee St & Division St,41.9035204,-87.643331
41,Morgan St & Lake St,41.8854833,-87.6523049
42,Noble St & Milwaukee Av,41.90068,-87.6626
43,Lincoln Ave & Roscoe St,41.9433691,-87.6709694
44,Clinton St & Madison St,41.8821571,-87.641082
45,Clark St & Armitage Av,41.9183118,-87.6366209
46,Bissell St & Armitage Av,41.9184379,-87.6522287
47,Michigan Ave & 14th St,41.864059,-87.623727
48,Eckhart Park,41.8970947,-87.66119267516481
49,Damen Ave & Chicago Av,41.8957001,-87.6771731
50,Racine Ave & Fullerton Av,41.9255538,-87.6583591
51,Sheffield Ave & Waveland Av,41.9491906,-87.654519
52,Western Ave & Leland Av,41.9665049,-87.6884471
53,Wilton Ave & Belmont Av,41.940127,-87.6529767
54,Southport Ave & Irving Park Rd,41.954177,-87.664358
55,Wells St & Evergreen Av,41.906724,-87.63483
56,Michigan Ave & Madison St,41.8821536,-87.6251198
57,Halsted St & Clybourn Ave ,41.909554,-87.6481174
58,Wells St & Walton St,41.89993,-87.6344301
59,Sheffield Ave & Wellington Av,41.936253,-87.653566
60,Paulina Ave & North Av,53.0419063,-1.1882344
61,State St & Pearson St,41.897448,-87.628722
62,Sheridan Rd & Montrose Av,41.9619208,-87.6546421
63,Racine Ave & Belmont Av,41.9396892,-87.6588715
64,Southport Ave & Roscoe St,41.943739,-87.66402
65,Wabash Ave & 16th St,41.8603805,-87.6257873
66,Fairbanks Ct & Grand Av,41.89186,-87.62062
67,Damen Ave & Pierce Av,41.909404,-87.6777107
68,Michigan Ave & 18th St,41.857937,-87.623633
69,Racine Ave (May St) & Fulton St,,
70,Sheridan Rd & Lawrence Av,41.969517,-87.654691
71,Clark St & Drummond Pl,41.9312508,-87.6443337
72,Campbell Ave & Montrose Av,41.9613869,-87.6924656
73,Mies van der Rohe Way & Chestnut St,41.8986266,-87.6219577
74,Campbell Ave & Fullerton Av,41.924753,-87.6893023
75,Dearborn St & Monroe St,41.8813198,-87.6295209
76,Rush St & Superior St,41.8957713,-87.6258429
77,Kimball Ave & Belmont Av,41.9394019,-87.7122542
78,Kedzie Ave & Leland Av,,
79,Wabash Ave & 9th St,41.8708406,-87.6258028
80,roy St & North Av,53.4739738,-113.5962403
81,Green St & Madison St,41.8818239,-87.6487763
82,Halsted St & Willow St,41.9138225,-87.6485646
83,Wabash Ave & Roosevelt Rd,41.867173,-87.625955
84,Burling St (Halsted) & Diversey Pkwy ,,
85,Kingsbury St & Kinzie St,41.8892077,-87.6383309
86,Orleans St & Merchandise Mart Plaza,41.888243,-87.63639
87,Wolcott (Ravenswood) Ave & Montrose Ave ,41.9614026,-87.6761755
88,Lake Park Ave & 53rd St,43.863448426861986,-85.80043724182349
89,LaSalle Dr & Huron St ,41.8948863,-87.6322918
90,Sheridan Rd & Buena Av,41.958379,-87.654374
91,Clark St & Newport St,-37.8566141,144.9021165
92,Ashland Ave & Division St,41.903454,-87.6678089
93,Western Ave & Winnebago Av,41.915533,-87.687051
94,Daley Center Plaza,41.8841782,-87.6295978
95,Sheffield Ave & Fullerton Av,41.9256019,-87.653708
96,LaSalle St & Illinois St,41.890749,-87.63206
97,Ashland Ave & Chicago Av,41.895966,-87.667747
98,Ridge Blvd & Howard St,42.0193367,-87.6845085
99,Spaulding Ave & Armitage Av,,
100,Avondale Ave & Irving Park Rd,41.9533984,-87.7319578
101,Wentworth Ave & 35th St,41.8308242,-87.6323845
102,State St & 76th St,41.75695,-87.6246252
103,Francisco Ave & Foster Av,41.9755321,-87.7014957
104,Damen Ave & Clybourn Av,41.9318636,-87.6777836
105,Field Blvd & South Water St,41.886431,-87.6175335
106,Lincoln Ave & Waveland Av,41.9488215,-87.6752341
107,Michigan Ave & Lake St,41.8860581,-87.6242893
108,Clark St & 9th St (AMLI,41.870838,-87.6310668
109,Peoria St & Jackson Blvd,41.877749,-87.649633
110,Kosciuszko Park,41.930697800000004,-87.72449524577925
111,Central Park Blvd & 5th Av,41.8756373,-87.7154731
112,Desplaines St & Kinzie St,41.888716,-87.6444479
113,Emerald Ave & 31st St,41.838198,-87.645143
114,Sedgwick St & Huron St,41.894666,-87.638437
115,Canal St & Madison St,41.882091,-87.639833
116,Michigan Ave & Washington St,41.883594,-87.624639
117,Clinton St & Roosevelt Rd,41.8671323,-87.6410947
118,Lake Shore Dr & Monroe St,41.8809367,-87.6167829
119,Loomis St & Lexington St,41.8721652,-87.6614337
120,Loomis St & Taylor St ,41.8691439,-87.6617217
121,Ashland Ave & 13th St,41.865234,-87.666507
122,Franklin St & Chicago Av,41.896802,-87.6356384
123,Paulina St & Flournoy St,41.8729344,-87.6691886
124,Dusable Harbor,41.885720199999994,-87.6114526286846
125,Clifton Ave & Armitage Av,41.918216,-87.656936
126,Adler Planetariu,,
127,Shore Dr & 55th St,41.795212,-87.580715
128,Leavitt St & Chicago Av,41.8956361,-87.6820399
129,Aberdeen St & Jackson Blvd,41.8777261,-87.6547874
130,Broadway & Cornelia Av,41.9454899,-87.6459445
131,Ravenswood Ave & Lawrence Av,41.9690835,-87.6742516
132,Ritchie Ct & Banks St,41.9069444,-87.6262337
133,Lincoln Ave & Sunnyside Av,41.9623664,-87.68419
134,Orleans St & Chestnut St (NEXT Apts,41.8981928,-87.6375569
135,Lake Shore Dr & Belmont Av,41.940775,-87.639192
136,Clark St & Lake St,41.8860238,-87.6308788
137,heater on the Lak,,
138,Wood St & Milwaukee Av,41.907655,-87.672552
139,Dearborn Pkwy & Delaware Pl,41.899007,-87.629928
140,Halsted St & 35th St ,41.830674,-87.6470768
141,Clark St & Wrightwood Av,41.929546,-87.643118
142,Manor Ave & Leland Av,41.9659408,-87.7009102
143,Lake Shore Dr & Ohio St,41.89257,-87.614492
144,Sedgwick St & North Av,41.9113071,-87.6387432
145,Dearborn St & Erie St,41.8940108,-87.6293635
146,Cityfront Plaza Dr & Pioneer Ct,41.889875,-87.621994
147,Wabash Ave & Cermak Rd,41.8527088,-87.6265664
148,Stockton Dr & Wrightwood Av,41.93132,-87.638742
149,Broadway & Granville Av,41.9948231,-87.6602812
150,Rush St & Hubbard St,41.8901664,-87.6260843
151,Wolcott Ave & Polk St,41.871262,-87.673688
152,Western Ave & Roscoe St,41.9430283,-87.6876091
153,Sedgwick St & Webster Av,41.9221396,-87.6388967
154,Larrabee St & Oak St,41.9002824,-87.642931
155,Columbus Dr & Randolph St,41.8845981,-87.6195289
156,Clarendon Ave & Gordon Ter,41.957913,-87.649733
157,Pine Grove Ave & Waveland Av,41.9493875,-87.6464153
158,Western Ave & Lunt Av,42.0085872,-87.6904171
159,Halsted St & 37th St,41.827071,-87.645801
160,Racine Ave & Congress Pkwy,41.87464,-87.65703
161,Milwaukee Ave & Grand Av,41.891629,-87.648445
162,Clark St & Berwyn Av,41.9779636,-87.6681731
163,Wells St & Elm St,41.9032588,-87.6343789
164,Aberdeen St & Monroe St,41.8804188,-87.6552184
165,Normal Ave & Archer Av,41.849527,-87.640591
166,Clark St & Schiller St,41.907993,-87.631501
167,Clinton St & Tilden St,41.875885,-87.640795
168,Racine Ave & Randolph St,41.8840519,-87.6568467
169,Broadway & Belmont Av,41.9401041,-87.6453769
170,Leavitt St & Division St ,41.9029817,-87.6837747
171,Rush St & Cedar St,41.9023562,-87.6278233
172,Paulina St & 18th St,41.857901,-87.668745
173,Canal St & Adams St,41.87923,-87.640015
174,Sheffield Ave & Webster Av,41.921687,-87.653714
175,Lake Shore Dr & Wellington Av,41.936669,-87.636794
176,Jefferson St & Monroe St,41.880422,-87.642746
177,Southport Ave & Wrightwood Av,41.92888,-87.66317
178,Indiana Ave & Roosevelt Rd,41.8678266,-87.6230497
179,Ashland Ave & Wellington Av,41.936083,-87.669807
180,Clarendon Ave & Leland Av,41.967968,-87.650001
181,Vernon Ave & 75th St,41.7583589,-87.6141404
182,Clark St & Ida B Wells Dr,41.8759327,-87.6305845
183,Clark St & Randolph St,41.8845762,-87.6318899
184,Western Ave & Walton St,41.898351,-87.686781
185,McClurg Ct & Illinois St,41.89102,-87.6173
186,Clark St & Grace St,41.9506832,-87.6592068
187,Ada St & Washington Blvd,41.88283,-87.661206
188,Leavitt St & North Av,41.9101626,-87.6822644
189,Campbell Ave & North Av,41.910535,-87.689556
190,Ogden Ave & Chicago Av,41.8963625,-87.6540613
191,State St & 19th St,41.856594,-87.627542
192,Clark St & Lincoln Av,41.915689,-87.6346
193,Ashland Ave & Grand Av,41.891082,-87.6666874
194,Greenview Ave & Fullerton Av,41.925326,-87.6658295
195,Federal St & Polk St,41.8721086,-87.629569
196,Clark St & Wellington Av,41.9364968,-87.6475387
197,Lincoln Ave & Fullerton Av,41.925905,-87.64926
198,Damen Ave & Division St,41.9032712,-87.6782397
199,Clybourn Ave & Division St,41.9045257,-87.6404612
200,Clark St & Elm St,41.9029296,-87.6313227
201,Clark St & Chicago Av,41.8967157,-87.6309632
202,Southport Ave & Clark St,41.957081,-87.664199
203,Desplaines St & Jackson Blvd,41.878307,-87.6439383
204,Ravenswood Ave & Irving Park Rd,41.9546621,-87.6739059
205,Broadway & Argyle St,41.972972,-87.659637
206,Wells St & Huron St,41.8947285,-87.634423
207,Indiana Ave & 31st St,41.838812,-87.6218516
208,Central St Metra,42.0638275,-87.6986432
209,Clark St & Schreiber Av,41.9993368,-87.6713758
210,Halsted St & Wrightwood Av,41.929143,-87.649077
211,Financial Pl & Ida B Wells Dr ,41.8749588,-87.633159
212,Southport Ave & Belmont Av,41.9394986,-87.6636948
213,Sheridan Rd & Greenleaf Av,42.0106271,-87.6624428
214,McClurg Ct & Erie St,41.8944402,-87.617832
215,Winchester Ave & Elston Av,,
216,Larrabee St & North Av,41.91021,-87.6435
217,Blackstone Ave & Hyde Park Blvd,41.802562,-87.590368
218,Sheffield Ave & Willow St,41.913688,-87.652855
219,Damen Ave & Melrose Av,41.9405352,-87.6785657
220,Broadway & Wilson Av,41.965287,-87.658774
221,Ravenswood Ave & Berteau Av,41.9579589,-87.6735777
222,Ellis Ave & 58th St,41.78875,-87.6013049
223,Claremont Ave & Hirsch St,41.907781,-87.685854
224,Halsted St & Dickens Av,41.919936,-87.64883
225,Lincoln Ave & Belmont Av,41.9393041,-87.6682778
226,Franklin St & Jackson Blvd,41.877708,-87.6353211
227,Michigan Ave & Pearson St,41.89766,-87.62351
228,State St & Van Buren St,41.877181,-87.627844
229,Honore St & Division St,41.9031364,-87.6738976
230,Orleans St & Elm St ,41.902924,-87.637715
231,Aberdeen St & Randolph St,41.8840181,-87.6545397
232,Western Ave & 24th St,41.84847,-87.685109
233,Canal St & Taylor St,41.8703544,-87.6394331
234,Broadway & Barry Av,41.937739,-87.644094
235,Wells St & Polk St,41.872373,-87.633523
236,Wells St & 19th St,41.856802,-87.633879
237,Marine Dr & Ainslie St,41.9716031,-87.6501064
238,Clark St & Montrose Av,41.9615526,-87.6662069
239,California Ave & 23rd Pl,41.8491229,-87.6951646
240,Southport Ave & Wellington Av,41.93584,-87.6637
241,Canal St & Harrison St,41.8742451,-87.6395767
242,Ashland Ave & Archer Av,41.8391584,-87.6656964
243,Broadway & Berwyn Av,41.978353,-87.659753
244,Wood St & Chicago Ave ,41.8958394,-87.6720965
245,Glenwood Ave & Touhy Av,42.0127334,-87.6660304
246,Ashland Ave & Lake St ,41.88541,-87.66732
247,Franklin St & Lake St,41.885837,-87.6355
248,Blue Island Ave & 18th St,41.857556,-87.661535
249,Wentworth Ave & 33rd St,41.8345104,-87.6317738
250,Lincoln Ave & Belle Plaine Av,41.9560354,-87.6803171
251,Lakefront Trail & Bryn Mawr Av,41.9841182,-87.6521048
252,MLK Jr Dr & Pershing Rd,41.8242768,-87.6166221
253,Canal St & Monroe St ,41.8807,-87.63947
254,Clark St & North Av,41.911791,-87.631841
255,Desplaines St & Randolph St,41.8845699,-87.6443031
256,LaSalle St & Jackson Blvd,41.87817,-87.631985
257,Loomis St & Jackson Blvd,41.877945,-87.662007
258,Kedzie Ave & Bryn Mawr Av,41.9829235,-87.7089705
259,Clinton St & Jackson Blvd ,41.8783906,-87.6409891
260,Lakefront Trail & Wilson Av,41.9657729,-87.6453951
261,Larrabee St & Kingsbury St,41.897764,-87.642884
262,Wells St & Hubbard St,41.8898488,-87.6342257
263,Sheffield Ave & Wrightwood Av,41.928712,-87.653833
264,Burnham Harbor,41.8563298,-87.6134827
265,Sheffield Ave & Kingsbury St,41.9095919,-87.6534972
266,Stave St & Armitage Av,41.9177255,-87.6914392
267,Kingsbury St & Erie St,41.8938432,-87.6418512
268,Ashland Ave & Wrightwood Av,41.92883,-87.668507
269,Morgan St & 31st St,41.8377876,-87.6512321
270,Lake Shore Dr & Diversey Pkwy,41.932684,-87.63625
271,Larrabee St & Menomonee St,41.91468,-87.64332
272,Kedzie Ave & Lake St,41.8845538,-87.7063827
273,Damen Ave & Leland Av,41.967094,-87.679028
274,May St & Cullerton St,41.8551827,-87.6541935
275,Artesian Ave & Hubbard St,41.8894772,-87.688031
276,Western Ave & Monroe St,41.8797855,-87.6862867
277,Halsted St & North Branch St,41.8993921,-87.6485166
278,Seeley Ave & Roscoe St,41.943403,-87.679618
279,Harper Ave & 59th St,41.7879391,-87.5885762
280,Milwaukee Ave & Wabansia Av,41.912616,-87.681391
281,Damen Ave & Thomas St (Augusta Blvd,41.9012996,-87.6774028
282,May St & Taylor St,41.8694943,-87.6554277
283,Eastlake Ter & Rogers Av,42.021,-87.6650758
284,California Ave & Montrose Av,41.9610872,-87.6954843
285,Damen Ave & Cortland St,,
286,California Ave & Altgeld St,41.9265644,-87.6979295
287,California Ave & Francis Pl,41.9181951,-87.6970531
288,Benson Ave & Church St,42.0483087,-87.6835799
289,California Ave & North Av,41.9104159,-87.6971574
290,Michigan Ave & Jackson Blvd,41.87785,-87.62408
291,Leavitt St & Archer Av,41.8287368,-87.680654
292,Michigan Ave & Ida B Wells Dr,41.8761665,-87.6244321
293,Milwaukee Ave & Rockwell St,41.920195,-87.693033
294,Green St & Randolph St,41.884078,-87.648684
295,Damen Ave & Grand Av,41.89122,-87.67686
296,Sheridan Rd & Noyes St (NU,42.0582647,-87.6775637
297,Clinton St & Washington Blvd,41.8834589,-87.6411634
298,MLK Jr Dr & 29th St,41.8420046,-87.6169135
299,Kimbark Ave & 53rd St,41.799568,-87.594747
300,Glenwood Ave & Morse Av,42.0080013,-87.6654097
301,State St & Harrison St,41.8739581,-87.6277395
302,Wentworth Ave & Cermak Rd ,41.8530995,-87.6318427
303,Calumet Ave & 18th St,41.857611,-87.619407
304,Clark St & Winnemac Av,41.973385,-87.668365
305,Marshfield Ave & Cortland St,41.9160622,-87.6687848
306,Dearborn St & Van Buren St ,41.8767276,-87.6292037
307,Racine Ave & Wrightwood Av,41.928887,-87.658971
308,Greenview Ave & Diversey Pkwy,41.932595,-87.665939
309,Albany Ave & Bloomingdale Av,41.9139521,-87.7051228
310,MLK Jr Dr & 63rd St,41.7800791,-87.6158646
311,Ashland Ave & Grace St,41.950687,-87.6687
312,Oakley Ave & Irving Park Rd,41.9544437,-87.6861659
313,roy St & Elston Av,,
314,Dearborn St & Adams St,41.8793564,-87.629791
315,Damen Ave & Wellington Av,41.9358511,-87.6784803
316,Richmond St & Diversey Av,41.9319623,-87.7012187
317,Broadway & Ridge Av,41.9840193,-87.6602158
